id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,user_followers_count,friends_count,is_quote_status,favorited,retweeted,is_retweet
1.432203958928482e+18,Mon Aug 30 04:50:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @amilcarmontejo: #ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vest…",RT amilcarmontejo ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vest…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,100,PamelaEspana,,ServicioSocial,amilcarmontejo,,,,,,227,1499,0,0,0,1
1.432203731060371e+18,Mon Aug 30 04:49:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amilcarmontejo: #ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vest…",RT amilcarmontejo ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vest…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,100,KrKreingler,,ServicioSocial,amilcarmontejo,,,,,,6,205,0,0,0,1
1.432203472779219e+18,Mon Aug 30 04:48:11 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @amilcarmontejo: #ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vest…",RT amilcarmontejo ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vest…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,100,lecabox,,ServicioSocial,amilcarmontejo,Guatemala,,,,,426,773,0,0,0,1
1.43220330452478e+18,Mon Aug 30 04:47:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amilcarmontejo: #ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vest…",RT amilcarmontejo ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vest…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,100,RosalMarieK,,ServicioSocial,amilcarmontejo,,,,,,329,1150,0,0,0,1
1.432203290570285e+18,Mon Aug 30 04:47:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amilcarmontejo: #ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vest…",RT amilcarmontejo ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vest…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,100,SAMUELR25485374,,ServicioSocial,amilcarmontejo,,,,,,40,185,0,0,0,1
1.432203247134122e+18,Mon Aug 30 04:47:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amilcarmontejo: #ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vest…",RT amilcarmontejo ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vest…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,100,mvpelaez1,,ServicioSocial,amilcarmontejo,,,,,,13,63,0,0,0,1
1.432203168780333e+18,Mon Aug 30 04:46:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amilcarmontejo: #ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vest…",RT amilcarmontejo ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vest…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,100,Poncho_gt,,ServicioSocial,amilcarmontejo,Guatemala,,,,,1316,823,0,0,0,1
1.432203089839329e+18,Mon Aug 30 04:46:40 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amilcarmontejo: #ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vest…",RT amilcarmontejo ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vest…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,100,ottofar,,ServicioSocial,amilcarmontejo,Frijolandia ,,,,,480,1009,0,0,0,1
1.43220296523914e+18,Mon Aug 30 04:46:10 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ServicioSocial

Persona desaparecida desde el pasado 26 de agosto, cuando se dirigía de Ciudad Quetzal a zona 1.

Vestía Pantalón  negro de lona, zapatos formales negros, camisa celeste, gorra negra y suéter de colores.

Por: @AngelE_Perea 

#TransitoGT #TraficoGT https://t.co/UZI6H4BJOs",ServicioSocial Persona desaparecida pasado 26 agosto dirigía Ciudad Quetzal zona 1 Vestía Pantalón negro lona zapatos formales negros camisa celeste gorra negra suéter colores Por AngelE_Perea TransitoGT TraficoGT https //t.co/UZI6H4BJOs,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,42,100,amilcarmontejo,0.0,"ServicioSocial,TransitoGT,TraficoGT",AngelE_Perea,"Guatemala, Guatemala",,,,,762501,255,0,0,0,0
1.432165618451636e+18,Mon Aug 30 02:17:46 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @amilcarmontejo: Solicitud, servicio social. Gracias por compartirlo.

#PMTGuatemalaEnTodo #TransitoGT #TraficoGT @mariaocalle https://t…",RT amilcarmontejo Solicitud servicio social Gracias compartirlo PMTGuatemalaEnTodo TransitoGT TraficoGT mariaocalle https //t…,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333333333,0.06666666666666667,es,0,60,aurabenitez,,"PMTGuatemalaEnTodo,TransitoGT,TraficoGT","amilcarmontejo,mariaocalle",,,,,,145,148,0,0,0,1
1.432161146274943e+18,Mon Aug 30 02:00:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Las horas que anualmente se pierden en los embotellamientos viales es cada vez mayor en diferentes ciudades del mundo y en la Ciudad de Guatemala no es la excepción. 

Leer más https://t.co/RnsmBm8WiD

#TeleféricoUrbano 
#TransportePúblico 
#TráficoGt https://t.co/adQcmM0a8L",Las horas anualmente pierden embotellamientos viales cada vez mayor diferentes ciudades mundo Ciudad Guatemala excepción Leer https //t.co/RnsmBm8WiD TeleféricoUrbano TransportePúblico TráficoGt https //t.co/adQcmM0a8L,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,2,0,MovilidadNews,0.0,"TeleféricoUrbano,TransportePúblico,TráficoGt",,Guatemala ,,,,,370,412,0,0,0,0
1.432156288520237e+18,Mon Aug 30 01:40:42 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @maxxmouse: Regalemos un rt para que Estuardo Mendoza Paz se entere que encontramos sus papeles y no tenga que hacer cola para reponerlo…,RT maxxmouse Regalemos rt Estuardo Mendoza Paz entere encontramos papeles hacer cola reponerlo…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,255,MariaRo84632474,,,maxxmouse,País de los eternos bloqueos,,,,,821,1260,0,0,0,1
1.43213181441246e+18,Mon Aug 30 00:03:26 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @express_foto: Km 34 ruta a El Salvador se produjo un accidente de @traficogt dos personas fallecen @BVoluntariosGT https://t.co/XqAfODv…,RT express_foto Km 34 ruta El Salvador produjo accidente traficogt dos personas fallecen BVoluntariosGT https //t.co/XqAfODv…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,1,marvinoliva15,,,"express_foto,traficogt,BVoluntariosGT",Guatemala,,,,,55,107,0,0,0,1
1.432129253424964e+18,Sun Aug 29 23:53:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Km 34 ruta a El Salvador se produjo un accidente de @traficogt dos personas fallecen @BVoluntariosGT https://t.co/XqAfODv22N,Km 34 ruta El Salvador produjo accidente traficogt dos personas fallecen BVoluntariosGT https //t.co/XqAfODv22N,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,2,1,express_foto,1.0,,"traficogt,BVoluntariosGT",Guatemala,,,,,4178,337,0,0,0,0
1.432128069918241e+18,Sun Aug 29 23:48:34 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @express_foto: Nos reportan accidente de @traficogt #Motorista herido en km 45 ruta Interamericana https://t.co/y1hfP4Zg3f,RT express_foto Nos reportan accidente traficogt Motorista herido km 45 ruta Interamericana https //t.co/y1hfP4Zg3f,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,1,jvaldez78,0.0,Motorista,"express_foto,traficogt",Guatemala,,,,,321,1258,0,0,0,1
1.432126353495798e+18,Sun Aug 29 23:41:44 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Nos reportan accidente de @traficogt #Motorista herido en km 45 ruta Interamericana https://t.co/y1hfP4Zg3f,Nos reportan accidente traficogt Motorista herido km 45 ruta Interamericana https //t.co/y1hfP4Zg3f,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,1,1,express_foto,1.0,Motorista,traficogt,Guatemala,,,,,4178,337,0,0,0,0
1.432123703844909e+18,Sun Aug 29 23:31:13 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @J_R_VALLADARES: Motoristas asaltando en la 20 calle zona 10. Placa M- 232FLV. @PMTSCP @amilcarmontejo @muniguate @sebastiansiero @trafi…,RT J_R_VALLADARES Motoristas asaltando 20 calle zona 10 Placa M- 232FLV PMTSCP amilcarmontejo muniguate sebastiansiero trafi…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,0,191,pedrorenegh,,,"J_R_VALLADARES,PMTSCP,amilcarmontejo,muniguate,sebastiansiero",,,,,,117,397,0,0,0,1
